Version	Grade	Origin Text	Component	Edited	id	Sub Genre	Genre
13	ULTIMATE		THE GRANDEUR	TRUE	190	アコースティックピアノ	サンプルインストゥルメント
13	ULTIMATE		THE MAVERICK	TRUE	191	アコースティックピアノ	サンプルインストゥルメント
13	ULTIMATE		THE GIANT	TRUE	189	アコースティックピアノ	サンプルインストゥルメント
13	ULTIMATE		NOIRE	TRUE	110	アコースティックピアノ	サンプルインストゥルメント
13	ULTIMATE		UNA CORDA	TRUE	199	アコースティックピアノ	サンプルインストゥルメント
13	ULTIMATE		ALICIA'S KEYS	TRUE	10	アコースティックピアノ	サンプルインストゥルメント
13	ULTIMATE		DRUMLAB	TRUE	45	ドラム＆パーカッション	サンプルインストゥルメント
13	ULTIMATE		ABBEY ROAD 60S DRUMMER	TRUE	2	ドラム＆パーカッション	サンプルインストゥルメント
13	ULTIMATE		STUDIO DRUMMER	TRUE	171	ドラム＆パーカッション	サンプルインストゥルメント
13	ULTIMATE		ABBEY ROAD 50S DRUMMER	TRUE	1	ドラム＆パーカッション	サンプルインストゥルメント
13	ULTIMATE		ABBEY ROAD VINTAGE DRUMMER	TRUE	6	ドラム＆パーカッション	サンプルインストゥルメント
13	ULTIMATE		ABBEY ROAD 70S DRUMMER	TRUE	3	ドラム＆パーカッション	サンプルインストゥルメント
13	ULTIMATE		ABBEY ROAD 80S DRUMMER	TRUE	4	ドラム＆パーカッション	サンプルインストゥルメント
13	ULTIMATE		ABBEY ROAD MODERN DRUMMER	TRUE	5	ドラム＆パーカッション	サンプルインストゥルメント
13	ULTIMATE		MASCHINE DRUM SELECTION	TRUE	91	ドラム＆パーカッション	サンプルインストゥルメント
13	ULTIMATE		WEST AFRICA	TRUE	208	ワールドインストゥルメント	サンプルインストゥルメント
13	ULTIMATE		MIDDLE EAST	TRUE	96	ワールドインストゥルメント	サンプルインストゥルメント
13	ULTIMATE		INDIA	TRUE	69	ワールドインストゥルメント	サンプルインストゥルメント
13	ULTIMATE		CUBA	TRUE	37	ワールドインストゥルメント	サンプルインストゥルメント
13	ULTIMATE		BALINESE GAMELAN	TRUE	22	ワールドインストゥルメント	サンプルインストゥルメント
13	ULTIMATE		VINTAGE ORGANS	TRUE	206	エレクトロニックピアノ&オルガン	サンプルインストゥルメント
13	ULTIMATE		SCARBEE MARK I	TRUE	142	エレクトロニックピアノ&オルガン	サンプルインストゥルメント
13	ULTIMATE		SCARBEE A200	TRUE	138	エレクトロニックピアノ&オルガン	サンプルインストゥルメント
13	ULTIMATE		SCARBEE CLAVINET/PIANET	TRUE	139	エレクトロニックピアノ&オルガン	サンプルインストゥルメント
13	ULTIMATE		GEORGE DUKE SOUL TREASURES	TRUE	57	エレクトロニックピアノ&オルガン	サンプルインストゥルメント
13	ULTIMATE		SESSION GUITARIST - ELECTRIC SUNBURST DELUXE	TRUE	150	アコースティック&エレクトリックギター	サンプルインストゥルメント
13	ULTIMATE		SESSION GUITARIST - STRUMMED ACOUSTIC	TRUE	152	アコースティック&エレクトリックギター	サンプルインストゥルメント
13	ULTIMATE		SESSION GUITARIST STRUMMED ACOUSTIC 2	TRUE	153	アコースティック&エレクトリックギター	サンプルインストゥルメント
13	ULTIMATE		SESSION GUITARIST - PICKED ACOUSTIC	TRUE	151	アコースティック&エレクトリックギター	サンプルインストゥルメント
13	ULTIMATE		SCARBEE FUNK GUITARIST	TRUE	140	アコースティック&エレクトリックギター	サンプルインストゥルメント
13	ULTIMATE		SCARBEE RICKENBACKER BASS	TRUE	147	エレクトリックベース	サンプルインストゥルメント
13	ULTIMATE		SCARBEE MM BASS	TRUE	143	エレクトリックベース	サンプルインストゥルメント
13	ULTIMATE		SCARBEE PRE-BASS	TRUE	145	エレクトリックベース	サンプルインストゥルメント
13	ULTIMATE		SCARBEE PRE-BASS AMPED	TRUE	146	エレクトリックベース	サンプルインストゥルメント
13	ULTIMATE		SCARBEE JAY-BASS	TRUE	141	エレクトリックベース	サンプルインストゥルメント
13	ULTIMATE		SCARBEE MM-BASS AMPED	TRUE	144	エレクトリックベース	サンプルインストゥルメント
13	ULTIMATE		SESSION STRINGS PRO 2	TRUE	157	コンテンポラリーストリング&ホーン	サンプルインストゥルメント
13	ULTIMATE		SESSION HORNS PRO	TRUE	155	コンテンポラリーストリング&ホーン	サンプルインストゥルメント
13	ULTIMATE		SYMPHONY ESSENTIALS - PERCUSSION	TRUE	176	クラシカルインストゥルメント	サンプルインストゥルメント
13	ULTIMATE		SYMPHONY ESSENTIALS WOODWIND SOLO	TRUE	180	クラシカルインストゥルメント	サンプルインストゥルメント
13	ULTIMATE		SYMPHONY ESSENTIALS WOODWIND ENSEMBLE	TRUE	179	クラシカルインストゥルメント	サンプルインストゥルメント
13	ULTIMATE		SYMPHONY ESSENTIALS - BRASS SOLO	TRUE	175	クラシカルインストゥルメント	サンプルインストゥルメント
